ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Portfolio Categories","Portfolio Tags",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
151,"Sahara Tours Morocco","<h2>Brand identity and web development</h2>
<h2>Unique visual identity to
bring in digital market</h2>
<h2>Category</h2>
<h2>Development</h2>
<h2>Client</h2>
<h2>Envato</h2>
<h2>Start Date​</h2>
<h2>7 August 2021</h2>
<h2>Designer</h2>
<h2>ThemesCamp</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/2-2-1.jpg"" alt="""" data-lag=""0"" data-speed=""0.5"" />
<h2>Brand overview</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet. Donec tincidunt, nunc eu gravida malesuada, tellus leo.</h2>
<h2>Maecenas sed tortor molestie, sagittis nibh sit amet, dapibus felis. Vivamus sed neque iaculis, ultrices nulla eu, venenatis dui. Praesent luctus urna eu dapibus pulvinar. Curabitur sed magna accumsan neque fermentum laoreet. Ut nunc.</h2>
<h2>Branding and identity</h2>
<h2>Websites and digital platforms</h2>
<h2>Content strategy for social media</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img1-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img2-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/3-2-1.jpg"" alt="""" width=""1500"" height=""721"" />
<h2>Product making for
friendly users</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet.</h2>
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse1accordion674b0b28804dd"">
1.
Research </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse2accordion674b0b28804dd"">
2.
Concept Design </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse3accordion674b0b28804dd"">
3.
Implementation </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse4accordion674b0b28804dd"">
4.
Testing </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea",,2025-09-26,portfolio,https://saharatoursmorocco.com/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.17.16.png|https://younessweb.me/wp-content/uploads/2024/11/1-2.webp,"Screenshot 2025-08-27 at 23.17.16|1",|,|,|,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.17.16.png,,Travel,,publish,1,123,younes.masroure@gmail.com,,,photo-retouching,,default,0,0,0,open,closed,2025-09-26
154,Siblo,"<h2>Brand identity and web development</h2>
<h2>Unique visual identity to
bring in digital market</h2>
<h2>Category</h2>
<h2>Development</h2>
<h2>Client</h2>
<h2>Envato</h2>
<h2>Start Date​</h2>
<h2>7 August 2021</h2>
<h2>Designer</h2>
<h2>ThemesCamp</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/2-2-1.jpg"" alt="""" data-lag=""0"" data-speed=""0.5"" />
<h2>Brand overview</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet. Donec tincidunt, nunc eu gravida malesuada, tellus leo.</h2>
<h2>Maecenas sed tortor molestie, sagittis nibh sit amet, dapibus felis. Vivamus sed neque iaculis, ultrices nulla eu, venenatis dui. Praesent luctus urna eu dapibus pulvinar. Curabitur sed magna accumsan neque fermentum laoreet. Ut nunc.</h2>
<h2>Branding and identity</h2>
<h2>Websites and digital platforms</h2>
<h2>Content strategy for social media</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img1-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img2-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/3-2-1.jpg"" alt="""" width=""1500"" height=""721"" />
<h2>Product making for
friendly users</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet.</h2>
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse1accordion674b0b83b1c7e"">
1.
Research </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse2accordion674b0b83b1c7e"">
2.
Concept Design </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse3accordion674b0b83b1c7e"">
3.
Implementation </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse4accordion674b0b83b1c7e"">
4.
Testing </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea",,2025-09-26,portfolio,https://siblopro.com/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.14.02-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/2-1.webp|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.07.35-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.59.22-1-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.01.11-1-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.05.47-1-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.08.05-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.10.43.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.11.45-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.13.03-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.16.16-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.16.25-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.17.26-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.20.51-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.21.48-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.24.10.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.29.03-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.30.02-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.55.09-scaled.png,"Screenshot 2025-08-28 at 00.14.02|2|Screenshot 2025-08-28 at 00.07.35|Screenshot 2025-08-27 at 23.59.22|Screenshot 2025-08-28 at 00.01.11|Screenshot 2025-08-28 at 00.05.47|Screenshot 2025-08-28 at 00.08.05|Screenshot 2025-08-28 at 00.10.43|Screenshot 2025-08-28 at 00.11.45|Screenshot 2025-08-28 at 00.13.03|Screenshot 2025-08-28 at 00.16.16|Screenshot 2025-08-28 at 00.16.25|Screenshot 2025-08-28 at 00.17.26|Screenshot 2025-08-28 at 00.20.51|Screenshot 2025-08-28 at 00.21.48|Screenshot 2025-08-28 at 00.24.10|Screenshot 2025-08-28 at 00.29.03|Screenshot 2025-08-28 at 00.30.02|Screenshot 2025-08-28 at 00.55.09",||||||||||||||||||,||||||||||||||||||,||||||||||||||||||,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.14.02-scaled.png,,Community,,publish,1,123,younes.masroure@gmail.com,,,photo-retouching-2,,default,0,0,0,open,closed,2025-09-26
157,"Moro Shoes","<h2>Brand identity and web development</h2>
<h2>Unique visual identity to
bring in digital market</h2>
<h2>Category</h2>
<h2>Development</h2>
<h2>Client</h2>
<h2>Envato</h2>
<h2>Start Date​</h2>
<h2>7 August 2021</h2>
<h2>Designer</h2>
<h2>ThemesCamp</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/2-2-1.jpg"" alt="""" data-lag=""0"" data-speed=""0.5"" />
<h2>Brand overview</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet. Donec tincidunt, nunc eu gravida malesuada, tellus leo.</h2>
<h2>Maecenas sed tortor molestie, sagittis nibh sit amet, dapibus felis. Vivamus sed neque iaculis, ultrices nulla eu, venenatis dui. Praesent luctus urna eu dapibus pulvinar. Curabitur sed magna accumsan neque fermentum laoreet. Ut nunc.</h2>
<h2>Branding and identity</h2>
<h2>Websites and digital platforms</h2>
<h2>Content strategy for social media</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img1-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img2-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/3-2-1.jpg"" alt="""" width=""1500"" height=""721"" />
<h2>Product making for
friendly users</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet.</h2>
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse1accordion674b0b90261f3"">
1.
Research </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse2accordion674b0b90261f3"">
2.
Concept Design </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse3accordion674b0b90261f3"">
3.
Implementation </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse4accordion674b0b90261f3"">
4.
Testing </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea",,2025-09-26,portfolio,https://moro-shoes.shop/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.14.39-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/3-1.webp|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.17.16.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.59.22-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.01.11-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.05.47-scaled.png,"Screenshot 2025-08-27 at 23.14.39|3|Screenshot 2025-08-27 at 23.17.16|Screenshot 2025-08-27 at 23.59.22|Screenshot 2025-08-28 at 00.01.11|Screenshot 2025-08-28 at 00.05.47",|||||,|||||,|||||,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.14.39-scaled.png,,E-commerce,,publish,1,123,younes.masroure@gmail.com,,,photo-retouching-3,,default,0,0,0,open,closed,2025-09-26
160,"Tech Ventures","<h2>Brand identity and web development</h2>
<h2>Unique visual identity to
bring in digital market</h2>
<h2>Category</h2>
<h2>Development</h2>
<h2>Client</h2>
<h2>Envato</h2>
<h2>Start Date​</h2>
<h2>7 August 2021</h2>
<h2>Designer</h2>
<h2>ThemesCamp</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/2-2-1.jpg"" alt="""" data-lag=""0"" data-speed=""0.5"" />
<h2>Brand overview</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet. Donec tincidunt, nunc eu gravida malesuada, tellus leo.</h2>
<h2>Maecenas sed tortor molestie, sagittis nibh sit amet, dapibus felis. Vivamus sed neque iaculis, ultrices nulla eu, venenatis dui. Praesent luctus urna eu dapibus pulvinar. Curabitur sed magna accumsan neque fermentum laoreet. Ut nunc.</h2>
<h2>Branding and identity</h2>
<h2>Websites and digital platforms</h2>
<h2>Content strategy for social media</h2>
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img1-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/img2-1-2.jpg"" alt="""" width=""954"" height=""944"" />
<img src=""https://younessweb.me/wp-content/uploads/2024/11/3-2-1.jpg"" alt="""" width=""1500"" height=""721"" />
<h2>Product making for
friendly users</h2>
<h2>Duis sed augue condimentum, blandit sapien in, accumsan eros. Curabitur sodales pulvinar libero et venenatis. Nullam eleifend risus a quam dictum auctor. Mauris at leo non dui euismod varius. Cras vel erat at est aliquam laoreet.</h2>
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse1accordion674b0b9664962"">
1.
Research </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse2accordion674b0b9664962"">
2.
Concept Design </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse3accordion674b0b9664962"">
3.
Implementation </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea
<h2><button data-bs-toggle=""collapse"" data-bs-target=""#collapse4accordion674b0b9664962"">
4.
Testing </button></h2>
Once the wireframe get approved at step 1, we’ll build prototype design to visually the idea",,2025-09-26,portfolio,https://techs-spectacular-site-da0a9c.webflow.io/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-22.44.36-scaled.png|https://younessweb.me/wp-content/uploads/2024/11/2-4.jpg,"Screenshot 2025-08-27 at 22.44.36|2",|,|,|,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-22.44.36-scaled.png,,Business,,publish,1,123,younes.masroure@gmail.com,,,photo-retouching-4,,default,0,0,0,open,closed,2025-09-26
1241,Nozabrand,,,2025-09-25,portfolio,https://nozabrand.com/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.17.26-scaled.png,"Screenshot 2025-08-28 at 00.17.26",,,,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.17.26-scaled.png,,E-commerce,,publish,1,123,younes.masroure@gmail.com,,,nozabrand,,default,0,0,0,open,closed,2025-09-26
1243,Après,,,2025-09-24,portfolio,#,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.20.51-scaled.png,"Screenshot 2025-08-28 at 00.20.51",,,,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.20.51-scaled.png,,E-commerce,,publish,1,123,younes.masroure@gmail.com,,,apes,,default,0,0,0,open,closed,2025-09-26
1245,"Boualioui Academy",,,2025-09-25,portfolio,https://boualioui.academy/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.30.02-scaled.png,"Screenshot 2025-08-28 at 00.30.02",,,,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.30.02-scaled.png,,Education,,publish,1,123,younes.masroure@gmail.com,,,boualioui-academy,,default,0,0,0,open,closed,2025-09-26
1250,"Njoyit Cosmetics",,,2025-08-28,portfolio,https://njoyitcosmetics.com/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.21.48-scaled.png,"Screenshot 2025-08-28 at 00.21.48",,,,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.21.48-scaled.png,,E-commerce,,publish,1,123,younes.masroure@gmail.com,,,njoyit-cosmetics,,default,0,0,0,open,closed,2025-08-28
1252,Incanti.co,,,2024-09-26,portfolio,https://incanti.co/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.59.22-scaled.png,"Screenshot 2025-08-27 at 23.59.22",,,,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-27-at-23.59.22-scaled.png,,Business,,publish,1,123,younes.masroure@gmail.com,,,incanti-co,,default,0,0,0,open,closed,2026-03-25
1254,"Summer Forever",,,2025-09-26,portfolio,https://summerforever.us/,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.01.11-scaled.png,"Screenshot 2025-08-28 at 00.01.11",,,,https://younessweb.me/wp-content/uploads/2024/11/Screenshot-2025-08-28-at-00.01.11-scaled.png,,E-commerce,,publish,1,123,younes.masroure@gmail.com,,,summer-forever,,default,0,0,0,open,closed,2026-03-25
